Country,City,Longtitude,Latitude,Temperature,Cloudiness,Humidity,Wind Speed
US,Nānākuli,-158.1547,21.3906,297.0,90,68,2.06
SD,Doka,35.7667,13.5167,305.07,100,40,6.26
AF,Herat Province,62.0,34.5,312.48,35,10,13.32
KE,Taveta,37.6736,-3.3963,296.92,96,39,2.67
PH,Catuday,119.8062,16.2923,300.23,90,77,7.69
RU,Cherskiy,161.3,68.75,283.9,100,48,3.75
DE,Ellwangen,10.1317,48.9616,295.67,3,55,3.01
IL,Yeruham,34.9314,30.9872,299.56,0,32,7.78
GB,Liverpool,-2.9779,53.4106,288.93,90,71,4.02
MN,Baruun-Urt,113.2792,46.6806,294.36,72,43,3.31
PT,Lagoa,-27.9833,39.05,292.82,6,76,1.45
GA,Cocobeach,9.5823,1.0002,301.11,94,77,2.62
US,Makakilo City,-158.0858,21.3469,296.28,90,69,2.06
PL,Biała Podlaska,23.1165,52.0324,292.1,56,56,5.47
CN,Lingao,109.6859,19.9103,302.39,100,72,3.86
IN,Nūzvīd,80.85,16.7833,302.62,100,83,4.76
CN,Jiaocheng,116.1389,24.6774,299.75,83,89,1.39
RO,Asău,26.4,46.4333,287.57,81,75,2.83
NZ,Dunedin,170.5036,-45.8742,283.6,43,96,1.18
CN,Shache,77.2406,38.4167,302.02,88,15,2.8
BR,São Félix do Xingu,-51.995,-6.6447,296.72,8,72,0.21
JP,Nago,127.9761,26.5881,299.27,100,88,3.87
CN,Shiyan,110.7781,32.6475,301.71,100,83,1.32
TM,Gumdag,54.5906,39.2061,307.13,0,32,5.7
US,Pierre,-100.351,44.3683,293.17,1,59,1.34
BR,Bonfim,-59.95,3.0833,297.55,11,86,0.23
NG,Bida,6.0167,9.0833,306.72,82,49,2.08
BR,Tapes,-51.3958,-30.6733,285.98,0,82,2.68
PT,Praia da Vitória,-27.0667,38.7333,294.29,20,83,1.99
BR,Bragança,-46.7656,-1.0536,297.85,97,95,0.78
RU,Leshukonskoye,45.7622,64.8989,287.26,89,86,4.4
RU,Arman',150.1667,59.7,280.86,83,77,2.6
CA,Clyde River,-68.5914,70.4692,272.28,90,93,1.03
GR,Corinth,22.9573,37.9407,296.78,96,56,3.38
VU,Norsup,167.3833,-16.0667,299.09,25,83,4.69
IN,Darlawn,92.9,24.0167,297.87,62,95,0.75
BR,São João da Barra,-41.0511,-21.6403,291.2,47,74,4.03
NO,Gravdal,13.5031,68.1214,282.09,75,71,3.6
PL,Lubaczów,23.1234,50.157,291.77,97,65,5.71
NE,Arlit,7.3853,18.7369,314.29,0,7,5.86
IE,County Wicklow,-6.4167,53.0,285.79,100,58,4.17
TD,Adré,22.2,13.4667,311.05,58,14,1.7
IR,Iranshahr,60.6848,27.2025,319.34,20,15,4.12
SO,Garoowe,48.4845,8.4054,306.68,100,31,10.82
SS,Malakal,31.6605,9.5334,295.68,100,83,5.27
ZA,Port Shepstone,30.455,-30.7414,294.35,43,72,6.68
NE,Agadez,10.25,19.75,310.71,0,10,7.07
IN,Kāvali,79.9833,14.9167,305.93,100,47,7.11
PE,Lima,-77.0282,-12.0432,288.29,40,88,4.12
JP,Fukuechō,128.8419,32.6881,296.35,75,83,1.03
ML,Taoudenni,-3.9836,22.6783,317.73,32,6,5.15
TZ,Masumbwe,32.1833,-3.6333,302.83,95,31,2.23
BR,Pitimbu,-34.8086,-7.4706,295.48,71,81,4.11
US,Salinas,-121.6555,36.6777,287.5,37,81,0.22
RU,Kysyl-Syr,122.7617,63.8986,291.71,100,49,2.21
AR,General Pico,-63.7568,-35.6566,282.14,100,73,5.13
FR,Arrondissement du Havre,0.3333,49.5833,299.08,9,50,1.75
US,Davidson,-86.7833,36.1501,295.0,1,86,1.54
RU,Verkh-Usugli,115.1667,52.7,292.51,94,45,2.33
AR,Presidencia Roque Sáenz Peña,-60.4388,-26.7852,283.36,0,69,2.4
RU,Peleduy,112.7406,59.6289,293.56,99,38,0.04
PT,Camacha,-16.3333,33.0833,292.83,75,68,5.66
ES,Muros,-9.0603,42.7762,300.89,20,53,2.23
RU,Bichura,107.6022,50.5881,284.95,100,96,1.28
NG,Abonnema,6.7931,4.7084,303.31,80,62,2.76
BY,Lyuban',28.0048,52.7985,291.62,98,77,2.09
CL,Buin,-70.75,-33.7333,276.17,100,57,1.37
SA,Abhā,42.5053,18.2164,301.29,34,6,5.14
RU,Bilibino,166.4372,68.0546,287.33,99,51,1.02
CD,Mangai,19.5333,-4.05,307.54,100,20,1.86
RU,Kungurtug,97.5228,50.5994,286.87,84,45,4.98
